Star,Title_cn,Title_en
5星,开饭 川食堂(忠孝店),
5星,胡适公园,
5星,糖村(敦南店),Sugar & Spice
4星,101大楼,Taipei 101
4星,士林夜市,
2星,黑店,
3星,真理大学,Aletheia University
3星,淡水红毛城,Fort San Domingo
5星,钱穆故居,
5星,东吴大学(双溪校区),Soochow University
5星,台北故宫博物院,Taipei's National Palace Museum
4星,美国海军学院,US Naval Academy
4星,州议会大楼,
4星,卡拉库里湖,
4星,白沙湖,
4星,The Domain Hotel Sunnyvale,The Domain Hotel Sunnyvale
3星,中央公园酒店,Park Central
4星,宾凯酒店,Hotel Beacon
4星,优胜美地瀑布,Yosemite falls
4星,Santa Cruz,Santa Cruz
4星,优胜美地国家公园,Yosemite National Park
4星,约书亚树国家公园,Joshua Tree National Park
5星,格里菲斯天文台,Griffith Observatory
5星,亨廷顿图书馆、艺术廊和植物园,Huntington Library Art Collections and Botanical Gardens
5星,联合火车站,Union Station
5星,华特•迪士尼音乐厅,Walt Disney Concert Hall
5星,天使圣母大教堂,Cathedral of Our Lady of the Angels
5星,好莱坞星光大道,Hollywood Walk of Fame
4星,拉斯维加斯,Las Vegas
4星,锡安国家公园,Zion National Park
3星,波浪谷,The Wave
4星,死马点州立公园,Dead Horse Point State Park
5星,拱门国家公园,Arches National Park
5星,杨百翰大学,Brigham Young University
4星,盐湖城,Salt Lake City
5星,摩门教堂,Salt Lake Temple
5星,盐湖城,Salt Lake City
4星,半月湾,Half Moon Bay
4星,Facebook办公地点,Facebook Inc
4星,Ano Nuevo State Reserve,Ano Nuevo State Reserve
5星,Pigeon Point Light Station,Pigeon Point Light Station
4星,Ramada Limited Santa Cruz,Ramada Limited Santa Cruz
5星,Santa Cruz,Santa Cruz
4星,苹果公司总部旧址,Apple Campus
4星,英特尔博物馆,Intel Museum
4星,Lockheed Martin,Lockheed Martin
4星,惠普总部,Hewlett-Packard Company
5星,谷歌公司总部,Googleplex
5星,斯坦福大学,Stanford University
5星,加州大学伯克利分校,University of California Berkeley
5星,旧金山,San Francisco
4星,金门大桥,Golden Gate Bridge
4星,Triple Aught Design,Triple Aught Design
5星,Osaka,Osaka
4星,Albertville Premium Outlets,Albertville
4星,美国海军学院,US Naval Academy
3星,旧金山渔人码头,Fishermans Wharf
3星,九曲花街,Lombard Street
2星,Pacifica Town,Pacifica Town
3星,红杉树国家公园,Redwood National and State Parks
3星,Facebook办公地点,Facebook Inc
4星,Ano Nuevo State Reserve,Ano Nuevo State Reserve
4星,Pigeon Point Light Station,Pigeon Point Light Station
3星,eBay Inc.,eBay Inc.
3星,思科系统公司,Cisco Systems
3星,苹果公司总部旧址,Apple Campus
3星,英特尔公司,Intel Corporation
3星,雅虎公司,Yahoo Inc.
3星,计算机历史博物馆,Computer History Museum
4星,胡弗塔,Hoover Tower
4星,斯坦福大学,Stanford University
3星,加州大学伯克利分校,University of California Berkeley
4星,萨特塔,Sather Tower
3星,Conzelman Road,Conzelman Road
3星,Battery Spencer,Battery Spencer
4星,Bonita角灯塔,Point Bonita Lighthouse
4星,The Point Reyes National Seashore,The Point Reyes National Seashore
4星,金门大桥,Golden Gate Bridge
3星,三藩市國際機場,
3星,联合国总部,United Nations Headquarters
4星,大都会艺术博物馆,The Metropolitan Museum of Art
3星,B‘ Smith,B‘ Smith
4星,洛克菲勒中心,Rockefeller Center
4星,现代艺术博物馆,The Museum of Modern Art
3星,古根汉姆博物馆,Guggenheim Museum
4星,哥伦比亚大学,Columbia University
5星,纽约圣约翰大教堂,The Cathedral Church of St.John the Divine
4星,Planet Hollywood,Planet Hollywood
4星,时代广场,Times Square
3星,纽约三一教堂,Trinity Church
3星,圣保罗礼拜堂,St. Paul's Chapel
4星,自由女神像,Statue of Liberty
3星,布鲁克林大桥,Brooklyn Bridge
5星,中央公园,Central Park
5星,河畔教堂,Riverside Church
5星,美国自然历史博物馆,American Museum of Natural History
5星,玩具反斗城,Toys 
5星,纽约大学,New York University
5星,圣保罗教堂,St. Paul's Chapel
5星,海洋航空航天博物馆,Intrepid Sea-Air-Space Museum
5星,苏瓦扬布佛塔,Swayambhunath Temple
5星,五台山风景名胜区,
5星,小五台山国家级自然保护区,
5星,赵家馆,
4星,石碌铁矿,
4星,石碌铁矿,
4星,莫尔道嘎国家森林公园,
4星,东戴河,
4星,沈阳故宫博物院,
4星,营口忆江南温泉谷度假酒店,
4星,虹溪谷温泉度假小镇,
4星,满洲里,
5星,北极村,
4星,黑龙江第一湾,
4星,漠河北极驴友之家(北极村),Arctic Pole Tourist Guest House Mohe County
4星,五台山五峰宾馆,Wufeng Hotel
4星,五台山风景名胜区-塔院寺,
4星,五台山风景名胜区-菩萨顶,
5星,二郎山隧道,
4星,北红村,
5星,威海国际海水浴场,
4星,赵一荻故居,
4星,白桦林,
4星,贵德金河源国际饭店,
4星,山海广场,
4星,玉皇阁,
4星,阆中古城步行街,
4星,五爷庙,
5星,华光楼,
4星,栾川老君山,Laojunshan
4星,黄河清大桥,
4星,春华海鲜自助,
5星,大爷海,
4星,大观公园,
4星,海南州橡皮山,
4星,九乡风景区,
5星,中天楼,
5星,雷峰塔,
5星,三爷海,
4星,拉脊山,
5星,西湖音乐喷泉,
5星,太白积雪,
5星,三合宫,
4星,阆中贡院,
5星,苏堤春晓,
5星,通麦大桥,
5星,拔仙台,
5星,贵德国家地质公园,
5星,通麦天险,
5星,牛背山云海,
4星,都江堰景区-宝瓶口,
4星,西乌珠穆沁草原,
4星,龙羊峡水库,
4星,八大关景区,
5星,阿尔山国家森林公园,
4星,边防公路,
4星,莫家街,
4星,水车广场,
4星,红树林自然保护区,
5星,铁甲古树,
5星,拔仙绝顶,
4星,塔尔寺,
5星,西溪国家湿地公园,
5星,河坊街,
4星,唐古拉山口,
5星,灵隐寺,LingYin Temple
4星,克什克腾世界地质公园,
4星,明清一条街,
4星,帽儿山国家森林公园,
4星,坎布拉国家森林公园,
5星,张氏帅府博物馆,
5星,灵隐寺,LingYin Temple
5星,千岛湖风景区,
4星,三亚维景国际度假酒店,Grand Metropark Resort Sanya
4星,迎客松,
4星,厦门鼓浪屿南瓜石客栈,Gulangyu Nanguashi Inn Xiamen
4星,鼓浪石,
4星,八婆婆烧仙草(龙头路店),
4星,康家龙头海蛎煎(龙头路一店),
4星,马拉桑品味果汁(龙头路总店),
4星,画廊酒店(鼓浪屿故驿海景店),Gallery Hotel (Gulangyu Guyi Seaview)
4星,厦门鼓浪屿云际客栈,Yunji Inn
4星,厦门鼓浪屿爱上花园度假旅馆,Gulangyu Aishang Garden Hotel
4星,鼓浪屿四季花旅馆(原初夏旅馆),Sijihua Hostel
4星,笔山洞,
4星,黄胜记鼓浪屿肉松店,
5星,厦门鼓浪屿那宅酒店,Na Za Hotel
5星,张三疯奶茶店(街心公园店),
5星,厦门鼓浪屿林氏府公馆酒店,Xiamen Gulangyu Linshifu Gongguan Hotel
5星,厦门鼓浪屿李家庄咖啡休闲旅馆,Lee Manor Hotel
4星,厦门市郑成功纪念馆,Zheng Chenggong Memorial Hall
4星,美华沙滩,
4星,北陲哨所,
4星,海滨风景区,
4星,回民街,
4星,拙政园,Humble Administrator Garden
4星,净月潭国家森林公园,
4星,鸭绿江公园,
4星,青岛崂山风景区,
4星,五台山风景名胜区-黛螺顶,
4星,五台山风景名胜区-大显通寺,
4星,海河,
4星,达坂山,
4星,千岛湖森林氧吧,
4星,兴城古城,
4星,兴城海滨,
4星,营口天沐温泉,Tianmu Hot Spring Holiday Resort
4星,云南大学,
4星,黑龙潭,
4星,昆明锦江大酒店,Kunming Jinjiang Hotel
4星,滇池,
4星,金马碧鸡坊,
4星,满洲里套娃景区,
4星,卓尔山,
4星,李家峡水库,
4星,茶卡盐湖,
4星,鸟岛（停止营业）,
4星,祁连山草原,
4星,老马师烤羊肉面食馆,
4星,环湖西路,
4星,镇北堡西部影城,
4星,贺兰山岩画,Rock Art Helan Mountain
4星,塔林,
4星,河南博物院,
4星,嵩山,
4星,河南天地粤海酒店,Henan Skyland GDH Hotel
4星,少林寺,
5星,大九湖景区,
5星,香溪源风景区,
5星,神农架神农顶风景区-神农谷,
5星,神农顶风景区,
5星,惠苑国际大酒店（湖北神农架劳模疗养院）,Shennongjia Huiyuan International Hotel
5星,崇圣寺三塔,
4星,洱海,
5星,大理古城,
5星,双廊,
4星,苍山,The CangShan Mountain
5星,九寨沟-诺日朗瀑布,NuoRiLang Waterfall
5星,九寨沟-珍珠滩瀑布,
4星,意大利风情街,
4星,刘公岛,
4星,成山头风景区,
4星,中国甲午战争博物馆陈列馆,
4星,威海韩国城,
4星,乳山银滩旅游度假区,
5星,圣亚海洋世界,
4星,三门峡大坝风景区,
4星,天鹅湖国家城市湿地公园,
4星,月亮湾,
5星,江岭,
4星,拉卜楞寺,
4星,桑科草原,
4星,尕海湖,
5星,故宫,The Palace Museum
5星,天安门广场,
5星,颐和园,The Summer Palace
4星,坪坝营原生态休闲旅游区,
4星,咸丰坪坝营森林树上宾馆,
5星,月沼湖,
5星,木坑竹海,
4星,深圳皇轩酒店,Asta Hotels & Resorts Shenzhen
5星,束河古镇,
5星,丽江古城,Old Town of Lijiang
4星,平遥古城墙,
4星,平遥古城,The AncientCity of Ping Yao
3星,雾凇岛,Rime Island
4星,临江门大桥,
5星,乌镇民宿,Wuzhen Guesthouse
5星,张家界国家森林公园,
5星,张家界天门山景区,
5星,维多利亚港,
4星,太平山顶,
4星,蓬莱阁风景区,
5星,蓬莱华玺酒店,Penglai Huaxi Hotel
4星,贵德古城,
4星,千姿湖,
5星,塞罕坝国家森林公园,
5星,避暑山庄,
5星,丰宁坝上草原,
5星,解放碑,
4星,朝天门,
5星,磁器口古镇,
3星,玛吉阿米西餐吧,
5星,布达拉宫,པོ་ཏ་ལ
5星,八廓街,
4星,克什克腾世界地质公园阿斯哈图石林园区,
4星,长白山天池,
5星,温泉鸡蛋,
4星,阆中古城,
4星,阆中古城-汉桓侯祠,
5星,川北凉粉,
4星,阆中李家大院,Lees Courtyard Langzhong
3星,韩屯村,
4星,赵小姐的店（鼓浪屿店）,
5星,红星火山岩地质公园,
4星,上甘岭溪水国家森林公园,
5星,大丰河漂流,
4星,陕西周至老县城自然保护区,
5星,安昌古镇,
5星,梅峰岛,
5星,狮子峰,
5星,秦淮河,
5星,无梁殿,
5星,鼓浪屿,
1星,石灰华梯田,Travertines
4星,Lale Saray,Lale Saray
5星,凯里苗王快活林酸汤鱼,
4星,西江黔之驿精致旅社,
5星,朗德上寨,
5星,堂安侗寨,Tong Dong
5星,千户足迹客栈,
4星,多丝宾馆,Dozy House
3星,涛岛托斯卡纳酒店,Koh Tao Toscana
3星,蓝钻度假酒店,Blue Diamond Resort
3星,清迈夜市（长康路）,Chang Klan Night Market
4星,清迈动物园,Chiangmai zoo
4星,双龙寺,Wat Phra That Doi Suthep
4星,南园岛,Ko Nangyuan
4星,琅勃拉邦,Luang Prabang Library
4星,万荣,Vang Vieng
4星,皮皮岛海滩度假酒店,Phi Phi The Beach Resort
5星,卢塞恩,Lucerna
4星,巴登小镇,Baden
5星,苏黎世,
5星,穆赛格城墙,Museggmauer
5星,卢塞恩湖,Lake Lucerne
5星,卡佩尔廊桥,ChapelBridgeandWaterTower
5星,苏黎世湖,Zurich Lake
5星,班霍夫大街,Bahnhofstrasse
5星,阿塔罗斯柱廊,Stoa of Attalos
2星,萨嘎宾馆,
3星,萨嘎吉林大酒店,
4星,纳木错,Namtso
5星,当穹错,
4星,文布北村,
4星,仁青休布错,
4星,仁多乡,
4星,狮泉河,
4星,冈仁波齐神山,
4星,帕巴寺,
5星,乃村,
2星,吉隆沟,
4星,川味饭店(西藏吉隆县吉隆镇人民政府南),
3星,嘉措拉垭口,
3星,佩枯措,
4星,希夏邦马峰景区,
4星,卓奥友峰,
4星,珠峰观景台,
4星,扎什伦布寺,
4星,白居寺,
4星,多庆湖,
4星,羊卓雍措,
4星,羊八井温泉度假村,
4星,玛那岛,Mana Island
4星,金银岛,Treasure Island
3星,婺源西江月客栈,
4星,九寨天堂洲际大饭店,InterContinental Resort Jiuzhai Paradise
4星,猫鼻梁,
4星,甲居藏寨,
4星,雅拉雪山风景区,Zhara Snow Mountian
4星,十里长廊,
3星,牛奶海,
3星,亚丁风景区,
4星,仙乃日,
4星,红草地,
4星,金马仑高原熏制房酒店&餐厅,The Smokehouse Hotel & Restaurant Cameron Highlands
4星,槟城海德鲁酒店,Hydro Hotel Penang
4星,湾景国际度假酒店,Bayview Hotel Langkawi
3星,梳邦帝盛君豪酒店,Dorsett Grand Subang Hotel
4星,大叻诺伊登瑟湖Spa度假酒店,Dalat Edensee Lake Resort & Spa
4星,美奈维多利亚海滩度假村,Victoria Phan Thiet Beach Resort & Spa
3星,添轩酒店,Thien Xuan Hotel
4星,婺源李坑傍溪居客栈,Brook Hotel
5星,清迈香格里拉酒店,"Shangri-La Hotel, Chiang Mai"
3星,吉隆坡宾乐雅酒店,PARKROYAL Kuala Lumpur
3星,艾美酒店,Le Meridien  Hotel
4星,龙门客栈度假村,Dragon Inn Floating Resort
3星,Chill inn,Chill inn
4星,金马伦高原,cameron highland
3星,槟城国家公园,Penang National Park
4星,芭雅岛海洋公园,Pulau Payar Marine Park
4星,瓜拉雪兰莪自然公园,Kuala Selangor Nature Park
4星,国家石油公司双峰塔,Petronas Twin Towers
5星,段莘水库,
5星,庆源村,
5星,江岭,
3星,江湾村,
1星,晓起,
3星,汪口,
3星,大鄣山卧龙谷,
3星,彩虹桥,
4星,思溪延村,
5星,李坑,
4星,冶春茶社,Yechun Teahouse
4星,冶春园,
4星,京杭大运河(扬州段),
5星,扬州瘦西湖天沐温泉度假村,
5星,匹克按摩美容沙龙,Peak Spa Chiang Mai massage & Beauty Salon
3星,周日夜市,Sunday Night Market Walking Street - Tha Pae Gate
4星,清迈夜市（长康路）,Chang Klan Night Market
5星,长颈族村,Long Neck Village
5星,双龙寺,Wat Phra That Doi Suthep
5星,塔佩门,Tha Phae Gate
4星,大叻,
4星,美奈,
4星,Boke,
4星,Quan An Ngon,Quan An Ngon
4星,扬州瘦西湖天沐温泉度假村,
4星,普陀山,
5星,瘦西湖,
5星,平山堂,
4星,大虹桥,
4星,富春花园茶社,
5星,白塔,
5星,瘦西湖-五亭桥,The lotus bridge
4星,瘦西湖-五亭桥,The lotus bridge
4星,Chill inn,Chill inn
5星,南京东路,
5星,台北馥敦饭店-复南馆,Taipei Fullerton Hotel - South
4星,富山料理,
5星,鼎泰丰(信义路店),Din Tai Fung
5星,101大楼,Taipei 101
5星,新光三越(台北信义新天地),
5星,台北故宫博物院,Taipei's National Palace Museum
5星,食为天(东鹤店),
5星,卢氏古宅,
4星,冶春茶社,Yechun Teahouse
5星,四桥烟雨,
4星,二十四桥,Twenty-Four Bridges
5星,白塔,
4星,望春园酒楼！！！！,
4星,熙春台,
5星,熙春台,
5星,小金山,
4星,钓鱼台,
5星,钓鱼台,
5星,凫庄,
5星,瘦西湖-五亭桥,The lotus bridge
5星,何园,
5星,京杭大运河(扬州段),
5星,文昌阁,
4星,扬州市,
5星,小娘惹,Restoran Anak Nyonya
4星,神山公园,KinabaluNationalPark
4星,阳光广场,
3星,还剑湖,Hoan Kiem Lake
4星,中国城,Chinatown San Francisco
4星,九曲花街,Lombard Street
5星,旧金山渔人码头,Fishermans Wharf
5星,金门大桥,Golden Gate Bridge
4星,联合广场,Union Square
5星,旧金山市政厅,San Francisco City Hall
4星,美国艺术宫,Palace of Fine Arts
3星,恶魔岛,Alcatraz Island
4星,杜比剧院,Dolby Theatre
5星,好莱坞环球影城,Universal Studios Hollywood
4星,罗迪欧大道,Rodeo Drive
4星,格劳曼中国大剧院,TCL Chinese Theatres
3星,好莱坞星光大道,Hollywood Walk of Fame
5星,加州迪士尼乐园,Los Angeles Disneyland
4星,比弗利山庄,Beverly Hills
4星,费尔蒙特帝后大酒店,Fairmont Empress Hotel
3星,都市酒店,Hotel Metropol
4星,胡佛水坝,Hoover Dam
5星,Cafe Lago Buffet (Caesars Palace),Cafe Lago Buffet (Caesars Palace)
4星,Coca-Cola Store,Coca-Cola Store
5星,百丽宫上空秀(已关闭),Bally's Jubilee
4星,迷拉吉酒店,The Mirage
4星,威尼斯人度假赌场酒店,The Venetian Resort-Hotel-Casino
4星,马戏赌场主题公园度假村,"Circus Circus Hotel, Casino & Theme Park"
5星,M&M's World,M&M's World
5星,拉斯维加斯金银岛大酒店和赌场,Treasure Island Hotel & Casino
5星,拉斯维加斯,Las Vegas
4星,Panda Express (环球影城),Panda Express at Universal Studios Hollywood™
4星,阿拉莫广场,Alamo Square
4星,Boudin Sourdough Bakery & Cafe,Boudin Sourdough Bakery & Cafe
4星,旧金山有轨缆车,
4星,旧金山,San Francisco
4星,宪法广场,Plaza de la Constitución
4星,滕王阁,
4星,巴戎寺,Bayon Temple
4星,女王宫,Banteay Srei
1星,百适河大餐厅,Tonle Bassac
4星,Boudin Sourdough Bakery & Cafe,Boudin Sourdough Bakery & Cafe
4星,旧金山世博会遗址,
4星,布查德花园,The Butchart Gardens
4星,议会大厦,Parliament Buildings
4星,魁达洛古堡,Craigdarroch Castle
4星,李坑,
4星,马克西姆之家,
4星,恩和嘎列之家,
4星,西塘老酒1618,
4星,锡林水库,
5星,兰亭镇,
5星,鲁迅故里风景区,
5星,翡翠岛（永久关停）,Feicuidao
5星,其乐锅魁(春熙路店),
1星,乡村基(百盛店),
3星,老宅面铺,
4星,钟水饺(武侯店),
4星,马克西姆之家,
4星,沙溪古镇,
3星,德夯苗寨,
5星,努沃勒埃利耶,Nuwara Eliya
1星,大学博物馆,
2星,哲学家小径,Philosophenweg
3星,萨尔茨堡要塞,
4星,罗望子山亚洲休闲酒店 ,Tamarind Hill by Asia Leisure
4星,遗产酒店,Heritance Tea Factory
4星,康提阿马雅山酒店,Amaya Hills Kandy
3星,天堂海滩酒店,Paradise Beach Hotel
4星,西市场．谢宅,
4星,加勒城堡,Trinidad'soldtown
4星,Mackwoods茶厂,Macwood Tea Factory
4星,新西兰牧场,New Zealand Farm
3星,霍尔顿平原国家公园,Horton Plains National Park
3星,Myanmar Treasure Resort Bagan,Myanmar Treasure Resort Bagan
3星,搬迁,La Compagnie de Bretagne
2星,Chez Papa,Chez Papa
3星,巴黎老佛爷奥斯曼旗舰店,Galeries Lafayette Haussmann
3星,Pierre Hermé,Pierre Herme Paris
4星,宁芬堡宫,Nymphenburg Palace
4星,华山1914文创园区,
4星,台北故宫博物院,Taipei's National Palace Museum
4星,淡水红毛城,Fort San Domingo
3星,欣叶台式料理(忠孝店),
3星,士林夜市,
2星,宁夏夜市,
1星,淡水老街,Tam Shui
2星,师大夜市,
4星,森塔湾滨江大酒店,Seng Tawan Riverside Hotel
4星,安缦塔卡,Amantaka
4星,瑞光大金塔,Shwedagon Pagoda
4星,茵莱湖,Inle Lake
4星,达玛央吉佛塔,Dhammayangyi Pahto
4星,阿南达寺,Ananda Pahto
4星,瑞喜宫塔,Shwezigon Paya
4星,Khop chai deu,Khop chai deu
3星,布施仪式,Alms Giving Ceremony
4星,Lao Lao Garden,Lao Lao Garden
4星,Le Vendôme,Le Vendôme
4星,南乡(餐厅),Lane Xang
4星,Ramayana酒店,
4星,华人街,China Town
2星,Callejón de Hamel,Callejón de Hamel
3星,国家美术馆,Museo Nacional de Bellas Artes de La Habana
3星,哈瓦那大学,Universidad de la Habana
4星,革命广场,Plaza de la Revolución
4星,阿玛斯广场,Plaza de Armas
4星,哈瓦那大剧院,Grand Teatro de la Habana
4星,西礁岛艺术与历史博物馆,Key West Museum of Art & History
1星,Sloppy Joe's Bar,Sloppy Joe's Bar
5星,西锁岛,Key West
3星,巴亭广场,Ba Dinh Square
4星,西贡河,Saigon River
3星,中央邮局,Central Post Office
3星,战争遗迹博物馆,War Remnants Museum
3星,范五老街,Pham Ngu Lao Street
3星,后滩,Back Beach
4星,耶稣山,Jesus Christ's Statue
2星,内排国际机场,Noi Bai International Airport
4星,天堂岛,ParadiseIsland|TitopIsland
5星,下龙湾,Halong Bay
5星,春光庄温泉旅馆,Shunkoso Hakone Ryokan
4星,东望洋酒店,Hotel Guia
4星,鼓浪屿,
4星,豫园,
5星,无锡灵山精舍,Lingshan Vihara
5星,海底捞火锅(长寿路店),
4星,鼋头渚,
4星,梵宫广场,
4星,灵山大佛,
5星,梵宫,
5星,阿娘面(人民广场),
5星,王家沙点心店(南京西路总店),
5星,南翔馒头店(豫园路店),
4星,鼎泰丰(新天地店),
4星,宜家餐厅(徐汇店）,
5星,光明邨大酒家(淮海中路总店),
4星,外婆家(南京西路店),
4星,西贝莜面村(上海五角场万达店),
5星,红宝石(吴江店),
4星,莉莲蛋挞(虹口总店),Lillian Cake Shop
5星,孔雀河道,
4星,厦门大学,
3星,磁器口古镇,
3星,洪崖洞,Hong Ya Cave
4星,香港迪士尼乐园,Hong Kong Disneyland
4星,西溪国家湿地公园,
5星,香港海洋公园,Hong Kong Ocean Park
3星,丽江四方街,
4星,西湖,
3星,大水车,
4星,太阳宫,
4星,仁寺洞,Insadong
4星,上海瑞金洲际酒店,Intercontinental Shanghai Ruijin
3星,苏州苏哥利酒店,Hotel Soul Suzhou
4星,瓜镇,Kuah Town
4星,G塔酒店,GTower Hotel
3星,港岛太平洋酒店,Island Pacific Hotel
4星,香港黄金海岸酒店,Hong Kong Gold Coast Hotel
3星,如心铜锣湾海景酒店,L'hotel Causeway Bay Harbour View
3星,三亚亚龙湾红树林度假酒店,Yalong Bay Mangrove Tree Resort
4星,浅草寺,Senso-ji Temple
4星,一兰拉面(新宿中央东口店),Ichiran
4星,Brasserie VIRON,Brasserie VIRON
4星,沙利文餐厅,Solmar
5星,夏朵花园,Chartres Garden
5星,夏朵花园,Chartres Garden
5星,金阁寺,Kinkakuji Temple
5星,岚山,Arashiyama
5星,东大寺,Todai-ji Temple
5星,京都全日空皇冠广场酒店,ANA Crowne Plaza Hotel Kyoto
5星,心斋桥,Shinsaibashi
4星,大阪城公园,Osaka Castle Park
5星,大阪帝国酒店,Osaka Teikoku Hotel
5星,有马温泉,ArimaHotSpring
5星,奧之坊,
4星,京都二条城,Nijo Castle
4星,维多利亚酒店,Victoria Hotel
5星,现代住宅,Hyundai Residence
5星,东大门,
5星,仁寺洞,Insadong
5星,明洞,
5星,明洞,
4星,伊蒂之屋(明洞1号店),
5星,五壮洞咸兴冷面,
4星,BARBAROSSA酒吧,
4星,三亚亚龙湾天鸿度假村,Sanya  Tianhong  Resort
4星,三亚亚龙湾红树林度假酒店,Yalong Bay Mangrove Tree Resort
4星,阿尼克城堡,Alnwick Castle
5星,伊瓜苏瀑布,
4星,喀秋莎俄罗斯旅游之家,
4星,恩和孙金花家,
4星,方洲招待所,
1星,大宝小食,Jonker 88
1星,古城鸡饭粒,Famosa Chicken Rice Ball
1星,中华茶室,Kedai Kopi Chung Wah
1星,独立广场,Dataran Merdeka
1星,中央市场,Central Market
1星,南香饭店,
1星,胜记,
4星,革命领袖视察黑龙江纪念馆,
5星,秋林食品商场,
4星,东来顺饭庄(靖宇街店),
5星,华梅西餐厅(中央大街店),
4星,同义清真饺子馆,
4星,太阳岛湿地文化节,
4星,中央大街步行街,
4星,圣索菲亚大教堂,
4星,马迭尔冷饮厅,
4星,黑龙江省博物馆,
4星,玛妮娅之家,
5星,波特曼西餐厅(道里店),
5星,马迭尔冷饮厅,
2星,神龟馅饼(海港路店),
4星,Hotel Maison Doree,Hotel Maison Doree
5星,Mosque Sidi Sahbi (Mosque of the Barber),Mosque Sidi Sahbi (Mosque of the Barber)
5星,北京火车站,Beijing Railway Station
5星,北京首都国际机场,Beijing-Capital International Airport
5星,老舍茶馆(前门店),
5星,中关村,
5星,图伦大道,Avenida Tulum
5星,上海浦东国际机场,Shanghai Pudong International Airport
5星,美罗城,METRO CITY
5星,上海筷子店,
5星,淮海路商业街,
5星,上海人民广场,
5星,阿瓦山寨(新威路店),
5星,鱼港小镇,
5星,威海韩国城,
5星,成山头风景区,
